type,lib,jour,nb,code,Code,flag_url
departement,Cher,2020-03-21,0,NA,NA,NA
departement,Cher,2020-03-22,0,NA,NA,NA
departement,Cher,2020-03-23,0,NA,NA,NA
departement,Cher,2020-03-24,10,NA,NA,NA
departement,Cher,2020-03-25,26,NA,NA,NA
departement,Cher,2020-03-26,34,NA,NA,NA
departement,Cher,2020-03-27,42,NA,NA,NA
departement,Cher,2020-03-28,62,NA,NA,NA
departement,Cher,2020-03-29,66,NA,NA,NA
departement,Cher,2020-03-30,106,NA,NA,NA
departement,Cher,2020-03-31,128,NA,NA,NA
departement,Corrèze,2020-03-18,0,NA,NA,NA
departement,Corrèze,2020-03-19,2,NA,NA,NA
departement,Corrèze,2020-03-20,2,NA,NA,NA
departement,Corrèze,2020-03-21,2,NA,NA,NA
departement,Corrèze,2020-03-22,10,NA,NA,NA
departement,Corrèze,2020-03-23,14,NA,NA,NA
departement,Corrèze,2020-03-24,36,NA,NA,NA
departement,Corrèze,2020-03-25,44,NA,NA,NA
departement,Corrèze,2020-03-26,52,NA,NA,NA
departement,Corrèze,2020-03-27,52,NA,NA,NA
departement,Corrèze,2020-03-28,78,NA,NA,NA
departement,Corrèze,2020-03-29,88,NA,NA,NA
departement,Corrèze,2020-03-30,104,NA,NA,NA
departement,Corrèze,2020-03-31,106,NA,NA,NA
departement,Corse-du-Sud,2020-03-18,0,NA,NA,NA
departement,Corse-du-Sud,2020-03-19,6,NA,NA,NA
departement,Corse-du-Sud,2020-03-20,174,NA,NA,NA
departement,Corse-du-Sud,2020-03-23,178,NA,NA,NA
departement,Corse-du-Sud,2020-03-22,180,NA,NA,NA
departement,Corse-du-Sud,2020-03-21,184,NA,NA,NA
departement,Corse-du-Sud,2020-03-24,194,NA,NA,NA
departement,Corse-du-Sud,2020-03-25,236,NA,NA,NA
departement,Corse-du-Sud,2020-03-26,280,NA,NA,NA
departement,Corse-du-Sud,2020-03-27,296,NA,NA,NA
departement,Corse-du-Sud,2020-03-29,316,NA,NA,NA
departement,Corse-du-Sud,2020-03-28,320,NA,NA,NA
departement,Corse-du-Sud,2020-03-30,341,NA,NA,NA
departement,Corse-du-Sud,2020-03-31,345,NA,NA,NA
departement,Côte-d'Or,2020-03-18,160,NA,NA,NA
departement,Côte-d'Or,2020-03-19,203,NA,NA,NA
departement,Côte-d'Or,2020-03-20,305,NA,NA,NA
departement,Côte-d'Or,2020-03-21,313,NA,NA,NA
departement,Côte-d'Or,2020-03-22,415,NA,NA,NA
departement,Côte-d'Or,2020-03-23,486,NA,NA,NA
departement,Côte-d'Or,2020-03-24,550,NA,NA,NA
departement,Côte-d'Or,2020-03-25,696,NA,NA,NA
departement,Côte-d'Or,2020-03-26,746,NA,NA,NA
departement,Côte-d'Or,2020-03-27,766,NA,NA,NA
departement,Côte-d'Or,2020-03-28,872,NA,NA,NA
departement,Côte-d'Or,2020-03-31,933,NA,NA,NA
departement,Côte-d'Or,2020-03-29,963,NA,NA,NA
departement,Côte-d'Or,2020-03-30,1010,NA,NA,NA
departement,Côtes-d'Armor,2020-03-18,10,NA,NA,NA
departement,Côtes-d'Armor,2020-03-19,12,NA,NA,NA
departement,Côtes-d'Armor,2020-03-20,18,NA,NA,NA
departement,Côtes-d'Armor,2020-03-21,22,NA,NA,NA
departement,Côtes-d'Armor,2020-03-22,22,NA,NA,NA
departement,Côtes-d'Armor,2020-03-23,26,NA,NA,NA
departement,Côtes-d'Armor,2020-03-24,32,NA,NA,NA
departement,Côtes-d'Armor,2020-03-25,42,NA,NA,NA
departement,Côtes-d'Armor,2020-03-26,60,NA,NA,NA
departement,Côtes-d'Armor,2020-03-27,82,NA,NA,NA
departement,Côtes-d'Armor,2020-03-28,94,NA,NA,NA
departement,Côtes-d'Armor,2020-03-29,104,NA,NA,NA
departement,Côtes-d'Armor,2020-03-30,112,NA,NA,NA
departement,Côtes-d'Armor,2020-03-31,116,NA,NA,NA
departement,Creuse,2020-03-18,0,NA,NA,NA
departement,Creuse,2020-03-19,0,NA,NA,NA
departement,Creuse,2020-03-20,0,NA,NA,NA
departement,Creuse,2020-03-21,2,NA,NA,NA
departement,Creuse,2020-03-22,2,NA,NA,NA
departement,Creuse,2020-03-23,4,NA,NA,NA
departement,Creuse,2020-03-24,4,NA,NA,NA
departement,Creuse,2020-03-25,8,NA,NA,NA
departement,Creuse,2020-03-26,8,NA,NA,NA
departement,Creuse,2020-03-27,16,NA,NA,NA
departement,Creuse,2020-03-28,16,NA,NA,NA
departement,Creuse,2020-03-29,16,NA,NA,NA
departement,Creuse,2020-03-30,24,NA,NA,NA
departement,Creuse,2020-03-31,28,NA,NA,NA
